Temperature,Humidity,HeartRate,AccelX,AccelY,AccelZ,HealthStatus
28.0,30.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,32.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.23,-0.09,-1.05,1
28.0,31.0,80.0,-0.21,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.21,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.1,-1.06,0
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,30.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.21,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.05,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,30.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.21,-0.09,-1.06,1
28.0,31.0,80.0,-0.21,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.23,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.05,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,30.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.08,-1.07,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,30.0,80.0,-0.23,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,32.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.23,-0.09,-1.06,1
28.0,31.0,80.0,-0.23,-0.09,-1.06,1
28.0,31.0,80.0,-0.23,-0.09,-1.06,1
28.0,31.0,80.0,-0.23,-0.09,-1.06,1
28.0,31.0,80.0,-0.23,-0.09,-1.06,1
28.0,31.0,80.0,-0.23,-0.09,-1.06,1
28.0,31.0,80.0,-0.23,-0.09,-1.06,1
28.0,30.0,80.0,-0.23,-0.09,-1.05,1
28.0,31.0,80.0,-0.23,-0.09,-1.06,1
28.0,32.0,80.0,-0.23,-0.09,-1.06,1
28.0,30.0,80.0,-0.23,-0.09,-1.06,1
28.0,31.0,80.0,-0.23,-0.09,-1.06,1
28.0,31.0,80.0,-0.23,-0.09,-1.06,1
28.0,31.0,80.0,-0.23,-0.09,-1.06,1
28.0,31.0,80.0,-0.23,-0.09,-1.06,1
28.0,31.0,80.0,-0.23,-0.09,-1.05,1
28.0,31.0,80.0,-0.23,-0.09,-1.05,1
28.0,31.0,80.0,-0.23,-0.09,-1.06,1
28.0,31.0,80.0,-0.23,-0.09,-1.06,1
28.0,31.0,80.0,-0.23,-0.09,-1.06,1
28.0,31.0,80.0,-0.22,-0.09,-1.06,1
28.0,31.0,80.0,-0.23,-0.09,-1.06,1
